"OBJECTID,N,9,0","Region,C,254","Division,C,254","ID,N,19,11","School,C,254","Municipali,C,254","Legislativ,C,254","Total_Enro,N,19,11","Total_Inst,N,19,11","Color_Code,C,254","Barangay,C,254","Province,C,254","District,C,254","Type_of_Sc,C,254","GPS_Source,C,50"
1,NCR,Quezon City,319506.00000000000,National Orthopedic Hospital School for Crippled Children,QUEZON CITY,1st,85.00000000000,8.00000000000,Blue,,NCR SECOND DISTRICT,School District I,School with no Annexes,GPS Pinning (2012)
2,NCR,Pasay City,319602.00000000000,Philippine National School for the Blind,PASAY CITY,Lone,27.00000000000,9.00000000000,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,GPS Pinning (2012)
3,NCR,Pasay City,319603.00000000000,Philippine School for the Deaf,PASAY CITY,Lone,251.00000000000,84.00000000000,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,GPS Pinning (2012)
4,NCR,Pasay City,223002.00000000000,Philippine School for the Deaf,PASAY CITY,Lone,260.00000000000,84.00000000000,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,GPS Pinning (2012)
5,NCR,Pasay City,223001.00000000000,Philippine National School for the Blind,PASAY CITY,Lone,46.00000000000,9.00000000000,Blue,,NCR FOURTH DISTRICT,Pasay City West District,School with no Annexes,GPS Pinning (2012)
6,NCR,Quezon City,222504.00000000000,NOH-School for Crippled Children,QUEZON CITY,1st,71.00000000000,0.00000000000,Black,,NCR SECOND DISTRICT,School District I,Mother school,GPS Pinning (2012)
7,NCR,Caloocan City,223512.00000000000,Bagumbong Elementary School Annex,KALOOKAN CITY,1st,1475.00000000000,14.00000000000,Red,171,NCR THIRD DISTRICT,Caloocan North IV,Annex or Extension school(s),GPS Pinning (2012)
8,NCR,Caloocan City,223501.00000000000,Caloocan North ES,KALOOKAN CITY,1st,5919.00000000000,40.00000000000,Red,179,NCR THIRD DISTRICT,Caloocan North I,School with no Annexes,GPS Pinning (2012)
9,NCR,Caloocan City,223511.00000000000,Rene Cayetano ES (Gabriela Silang ES Annex I),KALOOKAN CITY,1st,2708.00000000000,23.00000000000,Red,176,NCR THIRD DISTRICT,Caloocan North II,Annex or Extension school(s),GPS Pinning (2012)
10,NCR,Las Pi├▒as City,226502.00000000000,CAA ES Annex,CITY OF LAS PI├æAS,Lone,1587.00000000000,14.00000000000,Red,CAA,NCR FOURTH DISTRICT,Las Pi├▒as City I,Annex or Extension school(s),GPS Pinning (2012)
11,NCR,Las Pi├▒as City,226503.00000000000,Talon 3 Elementary School,CITY OF LAS PI├æAS,Lone,1657.00000000000,0.00000000000,Black,,NCR FOURTH DISTRICT,Las Pi├▒as City II,Annex or Extension school(s),GPS Pinning (2012)
12,NCR,Malabon City,136852.00000000000,Acacia ES,CITY OF MALABON,Lone,2681.00000000000,22.00000000000,Red,Acacia,NCR THIRD DISTRICT,Malabon District V,School with no Annexes,GPS Pinning (2012)
13,NCR,Malabon City,136838.00000000000,Ta├▒ong ES I,CITY OF MALABON,Lone,1223.00000000000,13.00000000000,Red,Ta±ong,NCR THIRD DISTRICT,Malabon District II,School with no Annexes,GPS Pinning (2012)
14,NCR,Malabon City,136850.00000000000,Tinajeros ES,CITY OF MALABON,Lone,3347.00000000000,30.00000000000,Red,Tinajeros,NCR THIRD DISTRICT,Malabon District IV,School with no Annexes,GPS Pinning (2012)
15,NCR,Mandaluyong City,136666.00000000000,Eulogio Rodriguez Integrated School,CITY OF MANDALUYONG,Lone,2555.00000000000,39.00000000000,Red,Hagdang Bato Itaas,NCR SECOND DISTRICT,Mandaluyong City District II,School with no Annexes,GPS Pinning (2012)
16,NCR,Mandaluyong City,136668.00000000000,Ilaya Barangka Integrated School,CITY OF MANDALUYONG,Lone,1391.00000000000,33.00000000000,Blue,Barangka Ilaya,NCR SECOND DISTRICT,Mandaluyong City District II,School with no Annexes,GPS Pinning (2012)
17,NCR,Mandaluyong City,224002.00000000000,Jose Fabella Memorial School,CITY OF MANDALUYONG,Lone,1445.00000000000,14.00000000000,Red,,NCR SECOND DISTRICT,Mandaluyong City District II,School with no Annexes,GPS Pinning (2012)
18,NCR,Manila,136418.00000000000,A. C. Herrera ES,TONDO,2nd,906.00000000000,13.00000000000,Red,197,"MANILA, NCR, FIRST DISTRICT",Tondo I,School with no Annexes,GPS Pinning (2012)
19,NCR,Manila,136442.00000000000,R. Almario ES - Isla Puting Bato ES,TONDO,1st,586.00000000000,7.00000000000,Red,Purok 4,"MANILA, NCR, FIRST DISTRICT",Tondo XIII,Annex or Extension school(s),GPS Pinning (2012)
20,NCR,Manila,222001.00000000000,R. Almario ES - Parola Annex,TONDO,1st,600.00000000000,6.00000000000,Red,MICT Compound,"MANILA, NCR, FIRST DISTRICT",Tondo XIII,Annex or Extension school(s),GPS Pinning (2012)
21,NCR,Manila,136475.00000000000,Silahis ng Katarungan Special School,PACO,5th,462.00000000000,9.00000000000,Gold,681,"MANILA, NCR, FIRST DISTRICT",Paco II,School with no Annexes,GPS Pinning (2012)
22,NCR,Manila,136466.00000000000,V. E. Fugoso Memorial School,SAMPALOC,4th,924.00000000000,27.00000000000,Blue,Parang,"MANILA, NCR, FIRST DISTRICT",Sampaloc V,School with no Annexes,GPS Pinning (2012)
23,NCR,Marikina City,136681.00000000000,Fortune ES,CITY OF MARIKINA,2nd,3712.00000000000,35.00000000000,Red,Fortune,NCR SECOND DISTRICT,Marikina City District II,School with no Annexes,GPS Pinning (2012)
24,NCR,Marikina City,136673.00000000000,Kalumpang ES,CITY OF MARIKINA,1st,1264.00000000000,43.00000000000,Blue,Kalumpang,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,GPS Pinning (2012)
25,NCR,Marikina City,136678.00000000000,San Roque ES,CITY OF MARIKINA,1st,1550.00000000000,43.00000000000,Blue,San Roque,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,GPS Pinning (2012)
26,NCR,Marikina City,136687.00000000000,Sto. Nino ES,CITY OF MARIKINA,1st,3308.00000000000,48.00000000000,Red,Sto. Ni±o,NCR SECOND DISTRICT,Marikina City District I,School with no Annexes,GPS Pinning (2012)
27,NCR,Muntinlupa City,136912.00000000000,Cupang ES,CITY OF MUNTINLUPA,Lone,2944.00000000000,36.00000000000,Red,Cupang,NCR FOURTH DISTRICT,Muntinlupa City District II,Mother school,GPS Pinning (2012)
28,NCR,Muntinlupa City,228501.00000000000,Itaas Elementary School NBP Annex,CITY OF MUNTINLUPA,Lone,5245.00000000000,48.00000000000,Red,Poblacion,NCR FOURTH DISTRICT,Muntinlupa City District I,Annex or Extension school(s),GPS Pinning (2012)
29,NCR,Muntinlupa City,136907.00000000000,Victoria Homes ES,CITY OF MUNTINLUPA,Lone,1550.00000000000,24.00000000000,Red,Tunasan,NCR FOURTH DISTRICT,Muntinlupa City District I,School with no Annexes,GPS Pinning (2012)
30,NCR,Navotas,136863.00000000000,North Bay Boulevard North Elementary School,CITY OF NAVOTAS,Lone,2100.00000000000,18.00000000000,Red,North Bay Blvd. North,NCR THIRD DISTRICT,Navotas District I,School with no Annexes,GPS Pinning (2012)
31,NCR,Paranaque City,226001.00000000000,Sun Valley ES,CITY OF PARA├æAQUE,2nd,2945.00000000000,24.00000000000,Red,Sun Valley,NCR FOURTH DISTRICT,Paranaque City District II,School with no Annexes,GPS Pinning (2012)
32,NCR,Pasig City,225501.00000000000,Maybunga Elementary School Annex,CITY OF PASIG,Lone,1124.00000000000,18.00000000000,Red,Maybunga,NCR SECOND DISTRICT,Pasig City District V,Annex or Extension school(s),GPS Pinning (2012)
33,NCR,Quezon City,222503.00000000000,"Benigno S. Aquino, Jr. Elementary School",QUEZON CITY,1st,4383.00000000000,35.00000000000,Red,,NCR SECOND DISTRICT,School District XI,School with no Annexes,GPS Pinning (2012)
34,NCR,Quezon City,136522.00000000000,Leopoldo B. Santos ES,QUEZON CITY,2nd,650.00000000000,9.00000000000,Red,Baesa,NCR SECOND DISTRICT,School District VIII,School with no Annexes,GPS Pinning (2012)
35,NCR,Quezon City,136547.00000000000,Payatas A ES,QUEZON CITY,2nd,6175.00000000000,62.00000000000,Red,Payatas A,NCR SECOND DISTRICT,School District XI,School with no Annexes,GPS Pinning (2012)
36,NCR,Quezon City,136548.00000000000,Payatas B ES,QUEZON CITY,2nd,4714.00000000000,20.00000000000,Red,Payatas,NCR SECOND DISTRICT,School District XI,Mother school,GPS Pinning (2012)
37,NCR,Quezon City,136550.00000000000,Payatas C ES,QUEZON CITY,2nd,2851.00000000000,24.00000000000,Red,Payatas,NCR SECOND DISTRICT,School District XI,School with no Annexes,GPS Pinning (2012)
38,NCR,Taguig,136881.00000000000,Bagong Tanyag Elementary School - Annex A,TAGUIG CITY,2nd,1329.00000000000,2.00000000000,Red,SOUTH DAANGHARI,NCR FOURTH DISTRICT,Taguig District II,Annex or Extension school(s),GPS Pinning (2012)
39,NCR,Taguig,136882.00000000000,Bagong Tanyag ES - Annex B,TAGUIG CITY,2nd,1394.00000000000,9.00000000000,Red,SOUTH DAANGHARI,NCR FOURTH DISTRICT,Taguig District II,Annex or Extension school(s),GPS Pinning (2012)
40,NCR,Taguig,136894.00000000000,Capt. H. Francisco ES Annex,PATEROS,1st,442.00000000000,6.00000000000,Red,STA. ANA,NCR FOURTH DISTRICT,Pateros,Annex or Extension school(s),GPS Pinning (2012)
41,NCR,Taguig,136878.00000000000,Tipas Elementary School - Annex,TAGUIG CITY,1st,1296.00000000000,10.00000000000,Red,CALZADA,NCR FOURTH DISTRICT,Taguig District I,Annex or Extension school(s),GPS Pinning (2012)
42,NCR,Valenzuela City,227003.00000000000,Punturin I ES,CITY OF VALENZUELA,1st,1061.00000000000,10.00000000000,Red,Punturin,NCR THIRD DISTRICT,Valenzuela City Central District,Mother school,GPS Pinning (2012)
43,NCR,Valenzuela City,227002.00000000000,Santiago A. de Guzman ES (Gen. T. de Leon ES- Tanada Annex),CITY OF VALENZUELA,2nd,1204.00000000000,21.00000000000,Red,Gen. T. de Leon,NCR THIRD DISTRICT,Valenzuela City East District,Annex or Extension school(s),GPS Pinning (2012)
44,NCR,Caloocan City,319709.00000000000,Bagumbong High School Annex,KALOOKAN CITY,1st,696.00000000000,12.00000000000,Red,Barangay 171,NCR THIRD DISTRICT,Aromar (Aromahan-Marulas),Annex or Extension school(s),GPS Pinning (2012)
45,NCR,Caloocan City,319708.00000000000,AHS-HORACIO DELA COSTA ANNEX,KALOOKAN CITY,,647.00000000000,6.00000000000,Red,Barangay 179,NCR THIRD DISTRICT,Aromar (Aromahan-Marulas),Annex or Extension school(s),GPS Pinning (2012)
46,NCR,Caloocan City,319707.00000000000,Urduja Business High School,KALOOKAN CITY,1st,1011.00000000000,13.00000000000,Red,Barangay 172,NCR THIRD DISTRICT,Aromar (Aromahan-Marulas),School with no Annexes,GPS Pinning (2012)
47,NCR,Las Pi├▒as City,320302.00000000000,CAA NHS Annex,CITY OF LAS PI├æAS,Lone,3015.00000000000,25.00000000000,Red,CAA / BF Int'l Village,NCR FOURTH DISTRICT,Las Pi├▒as City I,Annex or Extension school(s),GPS Pinning (2012)
48,NCR,Las Pi├▒as City,305431.00000000000,Civil Aeronautics Administration (CAA) NHS,CITY OF LAS PI├æAS,Lone,3380.00000000000,18.00000000000,Red,B.F. International Village,NCR FOURTH DISTRICT,Las Pi├▒as City I,Mother school,GPS Pinning (2012)
